5B66,E,1.85,5,	d3arce_	100.000	81	0	0	3	83	1	81	1.10e-57	166
5HGK,A,1.76,1,	d2wlva_	65.278	144	48	2	3	145	2	144	1.85e-65	191
5AQM,B,1.63,2,	d3ldqb_	99.099	111	1	0	5	115	1	111	2.66e-76	216
5BXC,A,1.40,1,	d1o7qa_	45.255	274	148	2	24	296	13	285	2.47e-86	255
5ETP,A,1.05,1,	d3ip0a_	100.000	158	0	0	5	162	1	158	2.24e-118	326
6RTP,A,1.10,1,	d1wuis_	40.780	282	142	9	6	282	5	266	7.02e-59	184
6MWL,A,1.50,1,	d1l3la2	22.093	86	60	2	53	133	49	132	0.001	33.1
6CGS,A,1.72,1,	d3k6ia_	37.879	66	35	2	18	79	18	81	1.19e-05	37.7
4ZZ1,A,1.35,1,	d2blna2	25.850	147	95	3	47	190	44	179	4.23e-10	52.0
5I8F,A,1.30,1,	d4a8ua_	37.086	151	93	2	15	164	8	157	1.49e-26	93.6
5BXI,A,1.70,1,	d3bbba_	66.892	148	49	0	7	154	4	151	4.85e-77	221
5IWI,B,1.98,1,	d3m4ia_	46.341	205	53	3	18	182	3	190	6.69e-52	160
5UCB,B,1.52,3,	d1roca_	100.000	153	0	0	1	153	3	155	1.65e-112	310
5TL9,A,1.20,1,	d4al0a_	100.000	146	0	0	9	154	1	146	3.79e-109	302
5A8G,A,1.72,1,	d1cc8a_	27.941	68	35	2	125	186	2	61	0.002	31.2
6CHX,A,1.40,1,	d3ku3a_	53.333	210	97	1	3	212	51	259	1.24e-80	239
5UCQ,A,1.40,1,	d3q46a_	98.315	178	1	2	1	178	1	176	6.76e-125	344
5XS2,B,2.04,2,	d2i53a1	34.091	88	53	2	13	98	11	95	7.55e-08	45.4
6MIH,A,1.60,1,	d4g1qa1	30.055	183	113	6	41	215	22	197	2.99e-21	87.4
6AX4,A,1.45,1,	d3rq7a1	100.000	123	0	0	7	129	1	123	5.90e-91	258
6CVE,A,2.20,1,	d1byia_	31.313	198	117	6	13	198	4	194	2.51e-13	62.0
5X9O,A,1.58,1,	d1r29a_	97.541	122	3	0	19	140	1	122	1.08e-85	241
5AUI,A,1.50,1,	d3wcqa_	69.792	96	28	1	3	97	2	97	1.75e-46	139
5VFE,A,1.38,1,	d1tjxa_	38.400	125	73	2	1	123	9	131	4.38e-21	78.2
5MCT,A,1.45,1,	d3d06a_	92.708	192	1	2	4	195	1	179	1.64e-131	362
